Deal Name,Customer Code,Serial Number,Nature of Work,Execution Status,Start Date,End Date,Sector,Invoice Amount,Billing Status,Delayed Days,Delay Reason
Tanjiro,WOCOMPANY_005,SDPLDEAL-026,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_005,SDPLDEAL-027,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_005,SDPLDEAL-028,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_005,SDPLDEAL-029,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Armin,WOCOMPANY_020,SDPLDEAL-030,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Armin,WOCOMPANY_020,SDPLDEAL-031,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Armin,WOCOMPANY_020,SDPLDEAL-032,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Jessie,WOCOMPANY_043,SDPLDEAL-033,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Naruto,WOCOMPANY_001,SDPLDEAL-034,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Inosuke,WOCOMPANY_045,SDPLDEAL-035,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_162,WOCOMPANY_052,SDPLDEAL-037,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_162,WOCOMPANY_052,SDPLDEAL-038,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-040,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-041,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-042,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Erwin,WOCOMPANY_021,SDPLDEAL-043,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_005,SDPLDEAL-044,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_051,SDPLDEAL-046,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_051,SDPLDEAL-047,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_051,SDPLDEAL-048,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_051,SDPLDEAL-049,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Timon,WOCOMPANY_046,SDPLDEAL-050,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-051,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mr. Krabs,WOCOMPANY_031,SDPLDEAL-053,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-054,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Asuna,WOCOMPANY_018,SDPLDEAL-055,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-056,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Asuna,WOCOMPANY_018,SDPLDEAL-057,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Gohan,WOCOMPANY_026,SDPLDEAL-058,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Powerpuff Girls,WOCOMPANY_039,SDPLDEAL-060,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Powerline,150000.0,Fully Billed,0,
Rafiki,WOCOMPANY_048,SDPLDEAL-061,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-062,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-063,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Shanks,WOCOMPANY_012,SDPLDEAL-065,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-066,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Frieza,WOCOMPANY_022,SDPLDEAL-067,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-068,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-069,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-070,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-071,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-072,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tanjiro,WOCOMPANY_051,SDPLDEAL-073,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Frieza,WOCOMPANY_022,SDPLDEAL-074,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-076,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Winnie the Pooh,WOCOMPANY_042,SDPLDEAL-077,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_162,WOCOMPANY_052,SDPLDEAL-078,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Trunks,WOCOMPANY_015,SDPLDEAL-079,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tuxedo Mask,WOCOMPANY_052,SDPLDEAL-080,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Timon,WOCOMPANY_046,SDPLDEAL-081,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Timon,WOCOMPANY_046,SDPLDEAL-082,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-083,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Tuxedo Mask,WOCOMPANY_041,SDPLDEAL-084,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Luffy,WOCOMPANY_032,SDPLDEAL-085,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_162,WOCOMPANY_052,SDPLDEAL-086,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_162,WOCOMPANY_052,SDPLDEAL-087,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-088,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Obito,WOCOMPANY_023,SDPLDEAL-089,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Mojo Jojo,WOCOMPANY_036,SDPLDEAL-090,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Rafiki,WOCOMPANY_048,SDPLDEAL-091,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-092,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Obito,WOCOMPANY_023,SDPLDEAL-093,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
GG go,WOCOMPANY_035,SDPLDEAL-094,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-095,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-096,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-097,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Erwin,WOCOMPANY_021,SDPLDEAL-098,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Goku,WOCOMPANY_003,SDPLDEAL-099,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Erwin,WOCOMPANY_021,SDPLDEAL-100,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Nami,WOCOMPANY_002,SDPLDEAL-102,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-103,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Subaru,WOCOMPANY_019,SDPLDEAL-105,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-106,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-108,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Rafiki,WOCOMPANY_048,SDPLDEAL-109,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Pumbaa,WOCOMPANY_047,SDPLDEAL-121,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Timon,WOCOMPANY_046,SDPLDEAL-125,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Gohan,WOCOMPANY_026,SDPLDEAL-126,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Kaguya,WOCOMPANY_014,SDPLDEAL-127,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-128,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Armin,WOCOMPANY_020,SDPLDEAL-129,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Armin,WOCOMPANY_020,SDPLDEAL-130,Annual Rate Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-131,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-132,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Gojo,WOCOMPANY_005,SDPLDEAL-134,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Faye Valentine,WOCOMPANY_010,SDPLDEAL-133,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-135,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-136,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-137,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-138,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-139,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Trunks,WOCOMPANY_015,SDPLDEAL-140,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-141,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Inuyasha,WOCOMPANY_016,SDPLDEAL-142,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Patrick Star,WOCOMPANY_030,SDPLDEAL-143,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Kaguya,WOCOMPANY_014,SDPLDEAL-144,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-145,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-146,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Katara,WOCOMPANY_037,SDPLDEAL-147,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sakura,WOCOMPANY_002,SDPLDEAL-149,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Dolphin,WOCOMPANY_029,SDPLDEAL-150,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-151,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-152,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Megumi,WOCOMPANY_007,SDPLDEAL-153,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Donkey,WOCOMPANY_040,SDPLDEAL-154,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Donkey,WOCOMPANY_040,SDPLDEAL-155,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Golden fish,WOCOMPANY_027,SDPLDEAL-156,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-157,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-158,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Timon,WOCOMPANY_046,SDPLDEAL-159,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Timon,WOCOMPANY_046,SDPLDEAL-160,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-161,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Whis,WOCOMPANY_025,SDPLDEAL-162,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Rengoku,WOCOMPANY_002,SDPLDEAL-163,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-164,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-165,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-166,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Obito,WOCOMPANY_023,SDPLDEAL-167,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Stewie Griffin,WOCOMPANY_029,SDPLDEAL-168,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-169,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Sesshomaru,WOCOMPANY_017,SDPLDEAL-170,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Erwin,WOCOMPANY_021,SDPLDEAL-171,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-172,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alias_160,WOCOMPANY_051,SDPLDEAL-173,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Octopus,WOCOMPANY_002,SDPLDEAL-174,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-175,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-176,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Alphonse,WOCOMPANY_009,SDPLDEAL-177,Monthly Contract,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Whale,WOCOMPANY_004,SDPLDEAL-178,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Squirtle,WOCOMPANY_049,SDPLDEAL-179,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-180,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Turtle,WOCOMPANY_024,SDPLDEAL-181,Proof of Concept,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Bugs Bunny,WOCOMPANY_028,SDPLDEAL-182,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Bulbasaur,WOCOMPANY_050,SDPLDEAL-185,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Timon,WOCOMPANY_046,SDPLDEAL-186,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-187,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-188,One time Project,Ongoing,2025-06-01,2025-12-31,Construction,150000.0,Fully Billed,0,
